,Site,Month,Year,Date,S,P,pH,CO2,fCO2,pCO2,fCO2pot,pCO2pot,fCO2insitu,pCO2insitu,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite
1,Chelsea,6,2023,6/6/2023,27.96,0,8.133410156,1.01E-05,294.0041901,295.0124146,294.0041901,295.0124146,294.0041901,295.0124157,0.001605172,0.000163036,0.001778279,0.002006202,2.61051772,4.096560221
2,Chelsea,6,2024,6/24/2024,28.6,0,8.317193717,6.00E-06,175.9556906,176.5591125,175.9556906,176.5591125,175.9556906,176.559113,0.001468732,0.00023026,0.001704996,0.002035314,3.673754246,5.755883959
3,Chelsea,7,2023,7/6/2023,28.4525,0,8.284416968,6.85E-06,197.7859159,198.4684472,197.7859159,198.4684472,197.7859159,198.4684478,0.001512574,0.000214913,0.001734336,0.002041016,3.422138315,5.372451506
4,Chelsea,7,2024,7/22/2024,29.06,0,7.852063118,2.32E-05,623.6126506,625.8344981,623.6126506,625.8344981,623.6126506,625.8345036,0.001844612,8.90E-05,0.001956722,0.002064223,1.400420891,2.206137993
5,Chelsea,8,2023,8/1/2023,28.98,0,8.202239699,9.13E-06,263.2960722,264.2063999,263.2960722,264.2063999,263.2960722,264.2064011,0.001576847,0.000196777,0.001782759,0.002060925,3.139835048,4.909882941
6,Chelsea,8,2023,8/29/2023,29.5,0,8.27131239,7.12E-06,200.9221766,201.6243012,200.9221766,201.6243012,200.9221766,201.6243018,0.001541223,0.000209288,0.001757633,0.002058102,3.309201678,5.187458406
7,Chelsea,10,2023,10/19/2023,29.67,0,7.533455347,5.52E-05,1390.909949,1396.016815,1390.909949,1396.016815,1390.909949,1396.016844,0.002013352,4.34E-05,0.002111911,0.002120546,0.676437432,1.068738256
8,Hood Head,6,2024,6/20/2024,29.49,0,7.979702448,1.84E-05,449.4931974,451.1609273,449.4931974,451.1609273,449.4931974,451.1609303,0.001828489,0.00010578,0.001952629,0.002090525,1.645927034,2.606738729
9,Hood Head,9,2023,9/5/2023,29.84,0,7.695028223,3.51E-05,929.9309244,933.2749923,929.9309244,933.2749923,929.9309244,933.2750055,0.001870379,6.41E-05,0.001969539,0.002029744,1.003672618,1.579513839
10,Hood Head,10,2023,10/19/2023,29.14,0,7.819035543,3.20E-05,753.7893971,756.6310999,753.7893971,756.6310999,753.7893971,756.6311109,0.001861171,7.76E-05,0.001970828,0.002054098,1.20447905,1.91424662
11,Hood Head,6,2023,6/16/2023,26.89,0,8.211385108,9.08E-06,237.3753174,238.2271343,237.3753174,238.2271343,237.3753174,238.2271351,0.001589426,0.000161879,0.001760386,0.001987618,2.555567698,4.064155946
12,Hood Head,7,2023,7/17/2023,29.47,0,8.08957956,1.21E-05,336.3135573,337.4949103,336.3135573,337.4949103,336.3135573,337.4949118,0.001709804,0.00015016,0.001872025,0.002080016,2.370829276,3.720342138
13,Hood Head,7,2024,7/15/2024,29.7,0,8.038569616,1.48E-05,386.7000996,388.098603,386.7000996,388.098603,386.7000996,388.0986052,0.001777876,0.000127929,0.001920636,0.002094074,2.001896339,3.155283178
14,Hood Head,8,2023,8/7/2023,29.6,0,7.850374687,2.35E-05,636.3707804,638.6356757,636.3707804,638.6356757,636.3707804,638.6356814,0.001877816,9.18E-05,0.001993158,0.002104232,1.444088772,2.270402118
15,Manchester,2,2023,2/11/2023,30.53,0,7.646363476,4.61E-05,1114.729339,1118.900774,1114.729339,1118.900774,1114.729339,1118.900795,0.001977308,5.72E-05,0.00208059,0.002119358,0.885343509,1.399285734
16,Manchester,5,2024,5/15/2024,29.04,0,7.935642364,2.01E-05,503.6515222,505.5012766,503.6515222,505.5012766,503.6515222,505.5012804,0.00183624,9.79E-05,0.001954262,0.00207831,1.52882094,2.421007341
17,Manchester,6,2023,6/12/2023,28.55,0,7.922791185,2.10E-05,516.8978845,518.8060531,516.8978845,518.8060531,516.8978845,518.8060572,0.001824545,9.19E-05,0.001937446,0.002052058,1.435468238,2.278910995
18,Manchester,6,2024,6/18/2024,29.31,0,7.870868781,2.41E-05,586.686135,588.8688019,586.686135,588.8688019,586.686135,588.8688071,0.00185848,8.27E-05,0.001965285,0.002063746,1.286083673,2.038850027
19,Manchester,7,2023,7/7/2023,29.45,0,7.757502845,3.24E-05,784.6587041,787.5822933,784.6587041,787.5822933,784.6587041,787.5823027,0.001911505,6.56E-05,0.002009491,0.002074465,1.020325006,1.617107957
20,Manchester,7,2024,7/17/2024,29.61,0,8.077229305,1.64E-05,434.0600543,435.620165,434.0600543,435.620165,434.0600543,435.6201683,0.001672216,0.000157974,0.001846596,0.002063182,2.476881872,3.900830994
21,Manchester,8,2023,8/8/2023,29.42,0,7.750850672,3.17E-05,814.7244045,817.6872909,814.7244045,817.6872909,814.7244045,817.6873006,0.00193406,7.02E-05,0.00203589,0.002107231,1.097151792,1.73232621
22,Manchester,8,2023,8/31/2023,30,0,7.685400289,3.72E-05,953.3230663,956.7993625,953.3230663,956.7993625,953.3230663,956.7993759,0.001955145,6.14E-05,0.002053751,0.002107233,0.958622028,1.511422024
23,Thorndyke,6,2024,6/21/2024,27.76,0,8.438727334,4.29E-06,114.8011757,115.2099646,114.8011757,115.2099646,114.8011757,115.2099648,0.001299243,0.000233817,0.001537353,0.0018827,3.693012189,5.845186017
24,Thorndyke,7,2023,7/5/2023,18.35,0,8.643156132,1.83E-06,60.39947285,60.59092772,60.39947285,60.59092772,60.39947285,60.59092777,0.000946178,0.000296898,0.001244911,0.001659993,5.039932866,8.180696319
25,Thorndyke,7,2024,7/23/2024,19.75,0,8.623541997,2.17E-06,68.80580831,69.02869644,68.80580831,69.02869644,68.80580831,69.0286965,0.001055751,0.000307078,0.001364999,0.001790709,5.128261104,8.293070828
26,Thorndyke,8,2023,8/2/2023,20.61666667,0,8.1923335,1.14E-05,321.0251438,322.1332481,321.0251438,322.1332481,321.0251438,322.1332507,0.00138865,0.000159377,0.001559451,0.001769928,2.670310599,4.336131158
27,Thorndyke,10,2023,10/20/2023,28.85,0,7.608373716,5.47E-05,1308.172565,1313.070198,1308.172565,1313.070198,1308.172565,1313.070231,0.001941525,5.13E-05,0.002047481,0.002068852,0.798066653,1.268153223
28,Thorndyke Bay,6,2023,6/5/2023,23.535,0,8.621262417,2.32E-06,66.95542964,67.18308889,66.95542964,67.18308889,66.95542964,67.18308897,0.000962267,0.000279043,0.001243634,0.001665256,4.566296592,7.251675408
29,Thorndyke Bay,7,2023,7/5/2023,20.1,0,8.48539634,3.34E-06,102.7548605,103.0926407,102.7548605,103.0926407,102.7548605,103.0926408,0.001077984,0.000226197,0.001307518,0.001630175,3.7687763,6.092401311
